date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
07/18/2019,"4 Rounds",":20 on / :40 offDL @ 40% of your 1RMBurpeesAir Bike or Row Cal*Everyone click the RX button as long as your DL is 40% of 1RM or more",148,"148","Reps","","[{""reps"":37},{""reps"":37},{""reps"":35},{""reps"":39}]","155# DLBike",RX,
07/18/2019,"Front Squat 1x1","Front Squat Find New 1RM #1: 1 rep",295,"295","Load","Front Squat","[{""success"":true,""load"":295}]","20# PR",RX,
07/22/2019,"400m Repeats","Max Effort 400m RunW/ a running clock400m Repeats5 sets, 2 Blocks1 @ 80% RPE1 @ 85% RPE1 @ 90% RPE1 @ 95% RPE1 @ 110% RPE all outRest 2 minutes between effortsRest 5-7 minutes between blocks and repeat again if time allows & you want to re-test and compare results after the5-7 minute rest between blocks.  This could be extra credit after class if time in class doesnt allow a 2nd blockNote your start & end times and do the math later for your 110% Maximum Effort, Only record 110% effort 1 or both sets if you do it twice**RPE = Rate of perceived exertion",72,"1:12","Time","","[{""secs"":12,""mins"":1}]","",RX,PR
07/23/2019,"Snatch 1x1","Snatch find new 1RM #1: 1 rep*Last tested 8 weeks ago, use this 1RM for our next 12 week cycle starting next week",165,"165","Load","Snatch","[{""success"":true,""load"":165}]","Failed at 175 twice",RX,
07/23/2019,"8 Min Partner Pacesetter","8 Min Partner AMRAP8 x Snatch 95/65T2B for RepsT2B are scoreSnatches are pacesetter",102,"102","Reps","","[{""reps"":102}]","W/ Justin",RX,PR
07/24/2019,"3 Rounds for time ea RD","3 rounds10/8 Fly Wheel Bike Cals8 DB S2OH 50/3510 DB Front Rack SquatsRest 2:00 min*DB Front Rack Squats may not rest on shoulders*score today is time for each round, goal is to have same time each round",50,"0:50","Time","","[{""secs"":3,""mins"":1},{""secs"":55,""mins"":0},{""secs"":50,""mins"":0}]","",RX,
07/24/2019,"Back Squat 8x2","Back Squat for load: 2 Reps every :90 x 8 sets@ 80% of 1RM #1: 2 reps @ 80% #2: 2 reps @ 80% #3: 2 reps @ 80% #4: 2 reps @ 80% #5: 2 reps @ 80% #6: 2 reps @ 80% #7: 2 reps @ 80% #8: 2 reps @ 80%",280,"280","Load","Back Squat","[{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280},{""success"":true,""load"":280}]","Felt good ",RX,
07/25/2019,"Clean & Jerk 1x1","Clean & Jerk find new 1RM #1: 1 rep*Last tested 8 weeks ago, use this 1RM for our next 12 week cycle starting next week",235,"235","Load","Clean & Jerk","[{""success"":true,""load"":235}]","20# under PR, legs are sore ",RX,
07/25/2019,"EMOM 12","OTM 12 MinMin 1: 35 DU (scaled 70 SU)Min 2: 10 HR Push-upsMin 3:  8 Weighted Box Step overs",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
07/29/2019,"Snatch 5x1","3 position Snatch 1 From ea. position top down #1: 1 rep @ 50% #2: 1 rep @ 60% #3: 1 rep @ 70% #4: 1 rep @ 75% #5: 1 rep @ 70%",125,"125","Load","Snatch","[{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":125},{""success"":true,""load"":115}]","Weight x Sets x Reps65x2x385x3x395x3x3115x2x3125x2x3115x2x395x3x351 total reps",RX,
07/29/2019,"4 ROUNDS (Total Time = 14 Min.)","In 2:00 Minutes:15 Sit-ups10 Air Squats5 Push-upsMAX Reps Squat Snatch (155/110) in Remaining Time.- Rest 2:00 Minutes -SCORE = Total SnatchesSCALING OPTIONS:- If scaling weight, pick a # that is NO MORE than 75% of your 1RM Squat Snatch.  Enter # in comments.- These snatches should NOT be TNG. - If scaling movement to cleans, complete MAX Reps Squat or Power Cleans (Pick a weight that is moderately challenging.)",26,"26","Reps","","[{""reps"":26}]","125#",SCALED,
